name,rollNumber,branch,category,writtenScore,age,btechPercentage
Jaspal Rana,COMPANY-CS-035,CS,SC,65,22,66.0
Kunal Kamble,COMPANY-CS-036,CS,SC,63,24,64.2
Laxman Murmu,COMPANY-CS-037,CS,SC,61,23,62.8
Mahesh Baitha,COMPANY-CS-038,CS,SC,38,22,54.1
Naveen Tyagi,COMPANY-MECH-026,MECH,GEN,81,24,76.2
Omprakash Yadav,COMPANY-MECH-027,MECH,GEN,79,23,75.0
Piyush Goel,COMPANY-MECH-028,MECH,GEN,77,22,73.8
Ramanujam Iyer,COMPANY-MECH-029,MECH,GEN,75,23,72.1
Shyam Sundar,COMPANY-MECH-030,MECH,GEN,45,24,56.5
Tushar Deshmukh,COMPANY-MECH-031,MECH,OBC,71,22,70.4
Ujjwal Rana,COMPANY-MECH-032,MECH,OBC,69,23,69.0
Vivek Agnihotri,COMPANY-MECH-033,MECH,OBC,67,22,68.1
Wasim Akram,COMPANY-MECH-034,MECH,OBC,40,24,59.0
Yuvraj Singh,COMPANY-MECH-035,MECH,SC,64,22,65.2
Zakir Hussain,COMPANY-MECH-036,MECH,SC,62,23,64.0
Amar Sonkar,COMPANY-MECH-037,MECH,SC,60,22,62.9
Brijesh Valmiki,COMPANY-MECH-038,MECH,SC,37,23,55.3
Rita Sen,COMPANY-CS-039,CS,GEN,84,23,79.0
Shankar Dayal,COMPANY-CS-040,CS,GEN,82,24,78.2
Tulsi Giri,COMPANY-CS-041,CS,OBC,74,22,72.4
Umesh Pal,COMPANY-CS-042,CS,SC,67,23,68.0
Vijay Mallya,COMPANY-MECH-039,MECH,GEN,83,22,78.5
Xavier Pinto,COMPANY-MECH-040,MECH,GEN,81,23,76.0
Yogesh Dutt,COMPANY-MECH-041,MECH,OBC,73,24,71.9
Zain Khan,COMPANY-MECH-042,MECH,SC,69,22,67.4
Ananya Roy,COMPANY-CS-043,CS,GEN,85,23,81.0
Binod Thapa,COMPANY-CS-044,CS,GEN,83,24,79.5
Chander Mohan,COMPANY-CS-045,CS,OBC,75,22,73.2
Deepa Malik,COMPANY-CS-046,CS,SC,69,23,69.1
Eknath Shinde,COMPANY-MECH-043,MECH,GEN,84,24,80.1
Farooq Abdullah,COMPANY-MECH-044,MECH,GEN,82,23,77.9
Girish Patel,COMPANY-MECH-045,MECH,OBC,76,22,74.0
Harish Rawat,COMPANY-MECH-046,MECH,SC,70,23,68.8
Jaya Bachchan,COMPANY-CS-047,CS,GEN,86,22,82.0
Kapil Dev,COMPANY-MECH-047,MECH,GEN,85,23,81.5
Kiran Bedi,COMPANY-CS-048,CS,OBC,77,24,76.4
Lata Mangeshkar,COMPANY-MECH-048,MECH,OBC,78,22,75.9
